Year,Units,Series,Value
2011,Percent,"Prevalence of Physical and/or Sexual Violence Against Women, last 12 months (PROXY)",44
2013,Percent,Average Percentage of Children 2-14 Experienced Any Form of Violent Discipline (PROXY),84
