Year,Series,Value
2016,Change (%),77
2017,Change (%),37
2018,Change (%),480
2019,Change (%),183
2020,Change (%),129
2021,Change (%),123
2022,Change (%),63
2023,Change (%),145
2015,Value (million vatu),5570
2016,Value (million vatu),4265
2017,Value (million vatu),1564
2018,Value (million vatu),7503
2019,Value (million vatu),13703
2020,Value (million vatu),17628
2021,Value (million vatu),21616
2022,Value (million vatu),13725
2023,Value (million vatu),19920
