Indicator
#ECO3-2-3
#ENV1-1-1
#ENV2-3-2
#ENV3-2-2
#SOC3-1-2
#SOC3-2-1
#SOC3-2-2
#SOC3-2-3
#SOC4-1-2
#SOC4-1-3
#SOC4-3-1
#SOC6-7-1
