Value,Disaggregation combinations using this value,Number of indicators
AdministrativeandSupportServices,9,1
Construction,9,1
Education,9,1
HotelsandAccomodations,9,1
Manufacturing,9,1
"MiningandQuarrying;Electricity,GasandWaterSupply",9,1
OtherServices,9,1
"Restaurants,FoodandBeverageServices",9,1
WholesaleandRetailTrade,9,1
