Value,Disaggregation combinations using this value,Number of indicators
Alcohol drinks,1,1
Beef,1,1
Cocoa,1,1
Coconut Meal,1,1
Coconut Oil,1,1
Coffee,1,1
Copra,1,1
Cowhides,1,1
Fish tuna,1,1
Kava,1,1
Ornamental Fish,1,1
Other Products,1,1
Shell Buttons,1,1
Vanilla,1,1
Wood,1,1
