Value,Disaggregation combinations using this value,Number of indicators
Cabbage Lettuce,1,1
Capsicum,1,1
Carrots and Turnips,1,1
Cauliflowers and Broccoli,1,1
Corn,1,1
Cucumber and Gherkins,1,1
Onions and Shallots,1,1
Oranges,1,1
Potatoes,1,1
"Pumpkins, Squash, and Gourds",1,1
Tomatoes,1,1
Watermelons,1,1
