Value,Disaggregation combinations using this value,Number of indicators
malampa,6,1
penama,6,1
rural,6,1
sanma rural,1,1
sanma,5,1
shefa rural,2,1
shefa,4,1
tafea,6,1
torba,6,1
urban,6,1
