Value,Disaggregation combinations using this value,Number of indicators
Banana Green,1,1
Beef Local,1,1
Dried Coconut,1,1
Fresh fish,1,1
Island Cabbage,1,1
Island Taro,1,1
Kumala,1,1
Local Chicken,1,1
Manioc,1,1
Yam,1,1
