Value,Disaggregation combinations using this value,Number of indicators
Branch of a Foreign Entity,7,1
Co-operative,7,1
Non-profit Organisation Serving Household,7,1
Partnership,7,1
Private Limited Company,7,1
Sole Trader/un Incorporated,7,1
