Indicator,Disaggregation combinations using this value
#ENV2-1-1,1
#ENV2-3-1,1
#ENV2-3-3,1
#ENV2-4-3,1
#ENV2-6-1,1
#ENV3-1-2,1
#ENV3-1-3,1
#ENV3-2-1,1
#ENV3-3-1,1
#ENV3-3-3,1
#ENV3-4-1,1
#ENV3-4-2,1
#ENV3-5-1,4
#ENV3-5-3,1
#ENV4-3-1,1
#ENV5-1-1,1
#ENV5-2-1,1
#ENV5-2-2,1
#ENV5-5-1,1
#ENV5-6-1,1
