Year,Value,Series
2016,77,Change (%)
2017,37,Change (%)
2018,480,Change (%)
2019,183,Change (%)
2020,129,Change (%)
2021,123,Change (%)
2022,63,Change (%)
2023,145,Change (%)
2015,5570,Value (million vatu)
2016,4265,Value (million vatu)
2017,1564,Value (million vatu)
2018,7503,Value (million vatu)
2019,13703,Value (million vatu)
2020,17628,Value (million vatu)
2021,21616,Value (million vatu)
2022,13725,Value (million vatu)
2023,19920,Value (million vatu)
