Year,Value,Units,Series
2006,34.0,Percent,34110
2007,21.7,Percent,34110
2008,35.9,Percent,34110
2009,-0.6,Percent,34110
2010,-4.6,Percent,34110
2011,-15.3,Percent,34110
2012,-17.0,Percent,34110
2013,17.0,Percent,34110
2014,9.8,Percent,34110
2015,41.0,Percent,34110
2016,-23.9,Percent,34110
2017,19.2,Percent,34110
