Year,Value,Series
2009,49834,Female population ever given birth
2020,64301,Female population ever given birth
2009,6448,"Female population, total number of deceased children"
2020,8217,"Female population, total number of deceased children"
2009,34294,Population 15+ smoking
2020,48316,Population 15+ smoking
2009,43087,Population 15+ drinking kava
2020,59347,Population 15+ drinking kava
2009,13780,Population 15+ drinking alcohol
2020,27282,Population 15+ drinking alcohol
