Year,Value,Units,Series
2006,113.5,Total,21321
2007,117.5,Total,21321
2008,130.1,Total,21321
2009,135.2,Total,21321
2010,142.2,Total,21321
2011,143.2,Total,21321
2012,145.5,Total,21321
2013,148.4,Total,21321
2014,150.5,Total,21321
2015,151.6,Total,21321
2016,162.7,Total,21321
2017,173.1,Total,21321
2018,178.5,Total,21321
