Year,Value,Units,Series
2017,4645,Millions in Vatu (VUV),Total Value
2018,3774,Millions in Vatu (VUV),Total Value
2019,3986,Millions in Vatu (VUV),Total Value
2020,4653,Millions in Vatu (VUV),Total Value
2021,4653,Millions in Vatu (VUV),Total Value
