Year,Value,Units,Series
2006,2.2,Percent,21111
2007,2.4,Percent,21111
2008,2.4,Percent,21111
2009,2.4,Percent,21111
2010,2.4,Percent,21111
2011,2.4,Percent,21111
2012,2.4,Percent,21111
2013,2.4,Percent,21111
2014,2.4,Percent,21111
2009,44.3,Percent,21112
2007,38879.0,Total,21113
