Year,Province,Region,Sex,GeoCode,Value
2020,,,,,45
2020,,,Male,,48
2020,,,Female,,42
2020,,Urban,,,41
2020,,Rural,,,46
2020,TORBA,,,VU01,48
2020,SANMA,,,VU02,32
2020,PENAMA,,,VU03,66
2020,MALAMPA,,,VU04,14
2020,SHEFA,,,VU05,47
2020,TAFEA,,,VU06,76
2010,,,,,57
2010,,Urban,,,48
2010,,Rural,,,60
2010,TORBA,,,VU01,82
2010,PENAMA,,,VU03,69
2010,MALAMPA,,,VU04,48
2010,TAFEA,,,VU06,74
