Year,Units,Series,Value
2013,Total,Total Value Export to MSG Countries (PROXY),652
2014,Total,Total Value Export to MSG Countries (PROXY),536
2015,Total,Total Value Export to MSG Countries (PROXY),396
2016,Total,Total Value Export to MSG Countries (PROXY),477
2017,Total,Total Value Export to MSG Countries (PROXY),682
2018,Total,Total Value Export to MSG Countries (PROXY),766
