Year,Series,Commodity,Country,Unit,Value
2024,Value,Alcoholic drinks,China,Millions in Vatu (VUV),439
2024,Value,Alcoholic drinks,France,Millions in Vatu (VUV),252
2024,Value,Alcoholic drinks,Singapore,Millions in Vatu (VUV),92
2024,Value,Alcoholic drinks,Solomon Islands,Millions in Vatu (VUV),54
2024,Value,Alcoholic drinks,United Kingdom,Millions in Vatu (VUV),60
2024,Value,Iron or steel,China,Millions in Vatu (VUV),818
2024,Value,Iron or steel,Australia,Millions in Vatu (VUV),242
2024,Value,Iron or steel,Japan,Millions in Vatu (VUV),302
2024,Value,Iron or steel,New Zealand,Millions in Vatu (VUV),62
2024,Value,Iron or steel,Fiji,Millions in Vatu (VUV),41
2024,Value,Medicaments,Australia,Millions in Vatu (VUV),216
2024,Value,Medicaments,New Zealand,Millions in Vatu (VUV),116
2024,Value,Medicaments,India,Millions in Vatu (VUV),103
2024,Value,Medicaments,United States of America,Millions in Vatu (VUV),36
2024,Value,Medicaments,Fiji,Millions in Vatu (VUV),17
2024,Value,Petroleum oils,Singapore,Millions in Vatu (VUV),6908
2024,Value,Petroleum oils,Australia,Millions in Vatu (VUV),108
2024,Value,Petroleum oils,New Zealand,Millions in Vatu (VUV),145
2024,Value,Petroleum oils,United Arab Emirates,Millions in Vatu (VUV),84
2024,Value,Petroleum oils,Malaysia,Millions in Vatu (VUV),48
2024,Value,Rice,China,Millions in Vatu (VUV),131
2024,Value,Rice,Taiwan,Millions in Vatu (VUV),519
2024,Value,Rice,Vietnam,Millions in Vatu (VUV),648
2024,Value,Rice,Fiji,Millions in Vatu (VUV),20
2024,Value,Rice,Thailand,Millions in Vatu (VUV),34
2021,Quantity,,,Tonnes in Kilogram (Kg),120981
2021,Quantity,Alcoholic drinks,,Tonnes in Kilogram (Kg),2698
2021,Quantity,Iron or steel,,Tonnes in Kilogram (Kg),5202
2021,Quantity,Medicaments,,Tonnes in Kilogram (Kg),184
2021,Quantity,Petroleum oils,,Tonnes in Kilogram (Kg),97025
2021,Quantity,Rice,,Tonnes in Kilogram (Kg),15872
2021,Quantity,Alcoholic drinks,China,Tonnes in Kilogram (Kg),1612
2021,Quantity,Alcoholic drinks,France,Tonnes in Kilogram (Kg),664
2021,Quantity,Alcoholic drinks,Singapore,Tonnes in Kilogram (Kg),233
2021,Quantity,Alcoholic drinks,Solomon Islands,Tonnes in Kilogram (Kg),177
2021,Quantity,Alcoholic drinks,United Kingdom,Tonnes in Kilogram (Kg),12
2021,Quantity,Iron or steel,China,Tonnes in Kilogram (Kg),2707
2021,Quantity,Iron or steel,Australia,Tonnes in Kilogram (Kg),1635
2021,Quantity,Iron or steel,Japan,Tonnes in Kilogram (Kg),0
2021,Quantity,Iron or steel,New Zealand,Tonnes in Kilogram (Kg),556
2021,Quantity,Iron or steel,Fiji,Tonnes in Kilogram (Kg),303
2021,Quantity,Medicaments,Australia,Tonnes in Kilogram (Kg),142
2021,Quantity,Medicaments,New Zealand,Tonnes in Kilogram (Kg),9
2021,Quantity,Medicaments,India,Tonnes in Kilogram (Kg),17
2021,Quantity,Medicaments,United States of America,Tonnes in Kilogram (Kg),7
2021,Quantity,Medicaments,Fiji,Tonnes in Kilogram (Kg),9
2021,Quantity,Petroleum oils,Singapore,Tonnes in Kilogram (Kg),95312
2021,Quantity,Petroleum oils,Australia,Tonnes in Kilogram (Kg),546
2021,Quantity,Petroleum oils,New Zealand,Tonnes in Kilogram (Kg),718
2021,Quantity,Petroleum oils,United Arab Emirates,Tonnes in Kilogram (Kg),280
2021,Quantity,Petroleum oils,Malaysia,Tonnes in Kilogram (Kg),169
2021,Quantity,Rice,China,Tonnes in Kilogram (Kg),6227
2021,Quantity,Rice,Taiwan,Tonnes in Kilogram (Kg),5163
2021,Quantity,Rice,Vietnam,Tonnes in Kilogram (Kg),3994
2021,Quantity,Rice,Fiji,Tonnes in Kilogram (Kg),296
2021,Quantity,Rice,Thailand,Tonnes in Kilogram (Kg),192
2022,Quantity,,,Tonnes in Kilogram (Kg),68917
2022,Quantity,Alcoholic drinks,,Tonnes in Kilogram (Kg),1580
2022,Quantity,Iron or steel,,Tonnes in Kilogram (Kg),2303
2022,Quantity,Medicaments,,Tonnes in Kilogram (Kg),129
2022,Quantity,Petroleum oils,,Tonnes in Kilogram (Kg),56373
2022,Quantity,Rice,,Tonnes in Kilogram (Kg),8532
2022,Quantity,Alcoholic drinks,China,Tonnes in Kilogram (Kg),863
2022,Quantity,Alcoholic drinks,France,Tonnes in Kilogram (Kg),422
2022,Quantity,Alcoholic drinks,Singapore,Tonnes in Kilogram (Kg),179
2022,Quantity,Alcoholic drinks,Solomon Islands,Tonnes in Kilogram (Kg),108
2022,Quantity,Alcoholic drinks,United Kingdom,Tonnes in Kilogram (Kg),7
2022,Quantity,Iron or steel,China,Tonnes in Kilogram (Kg),1487
2022,Quantity,Iron or steel,Australia,Tonnes in Kilogram (Kg),636
2022,Quantity,Iron or steel,Japan,Tonnes in Kilogram (Kg),0
2022,Quantity,Iron or steel,New Zealand,Tonnes in Kilogram (Kg),31
2022,Quantity,Iron or steel,Fiji,Tonnes in Kilogram (Kg),148
2022,Quantity,Medicaments,Australia,Tonnes in Kilogram (Kg),88
2022,Quantity,Medicaments,New Zealand,Tonnes in Kilogram (Kg),7
2022,Quantity,Medicaments,India,Tonnes in Kilogram (Kg),24
2022,Quantity,Medicaments,United States of America,Tonnes in Kilogram (Kg),4
2022,Quantity,Medicaments,Fiji,Tonnes in Kilogram (Kg),7
2022,Quantity,Petroleum oils,Singapore,Tonnes in Kilogram (Kg),55572
2022,Quantity,Petroleum oils,Australia,Tonnes in Kilogram (Kg),164
2022,Quantity,Petroleum oils,New Zealand,Tonnes in Kilogram (Kg),402
2022,Quantity,Petroleum oils,United Arab Emirates,Tonnes in Kilogram (Kg),106
2022,Quantity,Petroleum oils,Malaysia,Tonnes in Kilogram (Kg),130
2022,Quantity,Rice,China,Tonnes in Kilogram (Kg),4085
2022,Quantity,Rice,Taiwan,Tonnes in Kilogram (Kg),3657
2022,Quantity,Rice,Vietnam,Tonnes in Kilogram (Kg),609
2022,Quantity,Rice,Fiji,Tonnes in Kilogram (Kg),152
2022,Quantity,Rice,Thailand,Tonnes in Kilogram (Kg),29
2023,Quantity,,,Tonnes in Kilogram (Kg),136997
2023,Quantity,Alcoholic drinks,,Tonnes in Kilogram (Kg),4237
2023,Quantity,Iron or steel,,Tonnes in Kilogram (Kg),5508
2023,Quantity,Medicaments,,Tonnes in Kilogram (Kg),82
2023,Quantity,Petroleum oils,,Tonnes in Kilogram (Kg),109082
2023,Quantity,Rice,,Tonnes in Kilogram (Kg),18088
2023,Quantity,Alcoholic drinks,China,Tonnes in Kilogram (Kg),2233
2023,Quantity,Alcoholic drinks,France,Tonnes in Kilogram (Kg),1189
2023,Quantity,Alcoholic drinks,Singapore,Tonnes in Kilogram (Kg),459
2023,Quantity,Alcoholic drinks,Solomon Islands,Tonnes in Kilogram (Kg),260
2023,Quantity,Alcoholic drinks,United Kingdom,Tonnes in Kilogram (Kg),97
2023,Quantity,Iron or steel,China,Tonnes in Kilogram (Kg),4408
2023,Quantity,Iron or steel,Australia,Tonnes in Kilogram (Kg),495
2023,Quantity,Iron or steel,Japan,Tonnes in Kilogram (Kg),280
2023,Quantity,Iron or steel,New Zealand,Tonnes in Kilogram (Kg),104
2023,Quantity,Iron or steel,Fiji,Tonnes in Kilogram (Kg),221
2023,Quantity,Medicaments,Australia,Tonnes in Kilogram (Kg),55
2023,Quantity,Medicaments,New Zealand,Tonnes in Kilogram (Kg),6
2023,Quantity,Medicaments,India,Tonnes in Kilogram (Kg),14
2023,Quantity,Medicaments,United States of America,Tonnes in Kilogram (Kg),1
2023,Quantity,Medicaments,Fiji,Tonnes in Kilogram (Kg),6
2023,Quantity,Petroleum oils,Singapore,Tonnes in Kilogram (Kg),107640
2023,Quantity,Petroleum oils,Australia,Tonnes in Kilogram (Kg),481
2023,Quantity,Petroleum oils,New Zealand,Tonnes in Kilogram (Kg),696
2023,Quantity,Petroleum oils,United Arab Emirates,Tonnes in Kilogram (Kg),121
2023,Quantity,Petroleum oils,Malaysia,Tonnes in Kilogram (Kg),143
2023,Quantity,Rice,China,Tonnes in Kilogram (Kg),8491
2023,Quantity,Rice,Taiwan,Tonnes in Kilogram (Kg),4298
2023,Quantity,Rice,Vietnam,Tonnes in Kilogram (Kg),4868
2023,Quantity,Rice,Fiji,Tonnes in Kilogram (Kg),284
2023,Quantity,Rice,Thailand,Tonnes in Kilogram (Kg),146
2024,Quantity,,,Tonnes in Kilogram (Kg),92331
2024,Quantity,Alcoholic drinks,,Tonnes in Kilogram (Kg),2778
2024,Quantity,Iron or steel,,Tonnes in Kilogram (Kg),6577
2024,Quantity,Medicaments,,Tonnes in Kilogram (Kg),60
2024,Quantity,Petroleum oils,,Tonnes in Kilogram (Kg),67580
2024,Quantity,Rice,,Tonnes in Kilogram (Kg),15336
2024,Quantity,Alcoholic drinks,China,Tonnes in Kilogram (Kg),1525
2024,Quantity,Alcoholic drinks,France,Tonnes in Kilogram (Kg),654
2024,Quantity,Alcoholic drinks,Singapore,Tonnes in Kilogram (Kg),318
2024,Quantity,Alcoholic drinks,Solomon Islands,Tonnes in Kilogram (Kg),218
2024,Quantity,Alcoholic drinks,United Kingdom,Tonnes in Kilogram (Kg),63
2024,Quantity,Iron or steel,China,Tonnes in Kilogram (Kg),5486
2024,Quantity,Iron or steel,Australia,Tonnes in Kilogram (Kg),331
2024,Quantity,Iron or steel,Japan,Tonnes in Kilogram (Kg),560
2024,Quantity,Iron or steel,New Zealand,Tonnes in Kilogram (Kg),88
2024,Quantity,Iron or steel,Fiji,Tonnes in Kilogram (Kg),111
2024,Quantity,Medicaments,Australia,Tonnes in Kilogram (Kg),35
2024,Quantity,Medicaments,New Zealand,Tonnes in Kilogram (Kg),6
2024,Quantity,Medicaments,India,Tonnes in Kilogram (Kg),15
2024,Quantity,Medicaments,United States of America,Tonnes in Kilogram (Kg),0
2024,Quantity,Medicaments,Fiji,Tonnes in Kilogram (Kg),4
2024,Quantity,Petroleum oils,Singapore,Tonnes in Kilogram (Kg),65892
2024,Quantity,Petroleum oils,Australia,Tonnes in Kilogram (Kg),350
2024,Quantity,Petroleum oils,New Zealand,Tonnes in Kilogram (Kg),954
2024,Quantity,Petroleum oils,United Arab Emirates,Tonnes in Kilogram (Kg),222
