Year,Ministry,Department,Budget,Budget Type,Value
2004,Constitutional Agencies,Public Prosecutor,Payroll,Original Budget     ,"4,133,187"
2004,Constitutional Agencies,Public Prosecutor,Operations,Actual Spent     ,"1,983,347"
2004,Constitutional Agencies,Public Prosecutor,Operations,Original Budget     ,"2,588,889"
2004,Constitutional Agencies,Public Prosecutor,Payroll,Actual Spent     ,"2,454,035"
2004,Constitutional Agencies,Public Prosecutor,Payroll,Original Budget     ,"1,774,310"
2004,Constitutional Agencies,Public Solicitor,Operations,Actual Spent     ,"3,674,555"
2004,Constitutional Agencies,Public Solicitor,Operations,Original Budget     ,"5,415,724"
2004,Constitutional Agencies,Public Solicitor,Payroll,Actual Spent     ,"8,483,519"
2004,Constitutional Agencies,Public Solicitor,Payroll,Original Budget     ,"8,448,870"
2004,Constitutional Agencies,Judiciary,Operations,Actual Spent     ,"11,183,196"
2004,Constitutional Agencies,Judiciary,Operations,Original Budget     ,"4,071,457"
2004,Constitutional Agencies,Judiciary,Payroll,Actual Spent     ,"7,662,627"
2004,Constitutional Agencies,Judiciary,Payroll,Original Budget     ,"24,965,496"
2004,Constitutional Agencies,Judiciary,Operations,Actual Spent     ,"2,293,197"
2004,Constitutional Agencies,Judiciary,Operations,Original Budget     ,"2,545,470"
2004,Constitutional Agencies,Judiciary,Operations,Actual Spent     ,"2,047,477"
2004,Constitutional Agencies,Judiciary,Operations,Original Budget     ,"1,918,825"
2004,Constitutional Agencies,Judiciary,Payroll,Actual Spent     ,"20,199,107"
2004,Constitutional Agencies,Judiciary,Payroll,Original Budget     ,"16,243,715"
2004,Constitutional Agencies,Judiciary,Operations,Actual Spent     ,"4,364,312"
2004,Constitutional Agencies,Judiciary,Operations,Original Budget     ,"4,244,704"
2004,Constitutional Agencies,Judiciary,Payroll,Actual Spent     ,"14,319,686"
2004,Constitutional Agencies,Judiciary,Payroll,Original Budget     ,"10,118,152"
2004,Constitutional Agencies,Judiciary,Operations,Actual Spent     ,"540,707"
2004,Constitutional Agencies,Judiciary,Operations,Original Budget     ,"471,598"
2004,Constitutional Agencies,Judiciary,Payroll,Actual Spent     ,"4,257,276"
2004,Constitutional Agencies,Judiciary,Payroll,Original Budget     ,"4,057,028"
2004,Constitutional Agencies,Judiciary,Operations,Actual Spent     ,"100,996"
2004,Constitutional Agencies,Judiciary,Operations,Original Budget     ,"104,803"
2004,Constitutional Agencies,Judiciary,Payroll,Original Budget     ,"233,319"
2004,Constitutional Agencies,Judiciary,Operations,Actual Spent     ,"281,805"
2004,Constitutional Agencies,Judiciary,Operations,Original Budget     ,"295,000"
2004,Constitutional Agencies,Judiciary,Operations,Actual Spent     ,"12,726,565"
2004,Constitutional Agencies,Judiciary,Operations,Original Budget     ,"13,000,000"
2004,Constitutional Agencies,Public Service Commission,Operations,Actual Spent     ,"6,184,077"
2004,Constitutional Agencies,Public Service Commission,Operations,Original Budget     ,"6,233,099"
2004,Constitutional Agencies,Public Service Commission,Payroll,Actual Spent     ,"25,704,459"
2004,Constitutional Agencies,Public Service Commission,Payroll,Original Budget     ,"27,409,722"
2004,Constitutional Agencies,Public Service Commission,Operations,Actual Spent     ,"5,349,704"
2004,Constitutional Agencies,Public Service Commission,Operations,Original Budget     ,"5,026,847"
2004,Constitutional Agencies,Public Service Commission,Payroll,Actual Spent     ,"8,055,921"
2004,Constitutional Agencies,Public Service Commission,Payroll,Original Budget     ,"9,282,142"
2004,Constitutional Agencies,Public Service Commission,Operations,Actual Spent     ,"11,365,714"
2004,Constitutional Agencies,Public Service Commission,Operations,Original Budget     ,"10,877,719"
2004,Constitutional Agencies,Public Service Commission,Operations,Actual Spent     ,"82,960"
2004,Constitutional Agencies,Public Service Commission,Payroll,Actual Spent     ,"242,936"
2004,Constitutional Agencies,Public Service Commission,Payroll,Original Budget     ,"500,000"
2004,Constitutional Agencies,Citizenship Office,Operations,Actual Spent     ,"1,317,023"
2004,Constitutional Agencies,Citizenship Office,Operations,Original Budget     ,"1,147,788"
2004,Constitutional Agencies,Citizenship Office,Payroll,Actual Spent     ,"1,904,364"
2004,Constitutional Agencies,Citizenship Office,Payroll,Original Budget     ,"2,165,605"
2004,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,Operations,Actual Spent     ,"2,678,002"
2004,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,Operations,Original Budget     ,"1,323,612"
2004,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,Payroll,Actual Spent     ,"9,093,315"
2004,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,Payroll,Original Budget     ,"9,724,790"
2004,Prime Ministers Ministry,Prime Ministers Cabinet,Operations,Actual Spent     ,"42,054,967"
2004,Prime Ministers Ministry,Prime Ministers Cabinet,Operations,Original Budget     ,"22,285,917"
2004,Prime Ministers Ministry,Prime Ministers Cabinet,Payroll,Actual Spent     ,"31,673,396"
2004,Prime Ministers Ministry,Prime Ministers Cabinet,Payroll,Original Budget     ,"31,761,569"
2004,Prime Ministers Ministry,Language Services Department,Operations,Actual Spent     ,"4,597,248"
2004,Prime Ministers Ministry,Language Services Department,Operations,Original Budget     ,"3,970,995"
2004,Prime Ministers Ministry,Language Services Department,Payroll,Actual Spent     ,"11,443,430"
2004,Prime Ministers Ministry,Language Services Department,Payroll,Original Budget     ,"12,172,840"
2004,Ministry of Education & Training,MoE Cabinet,Operations,Actual Spent     ,"1,132,044"
2004,Ministry of Education & Training,MoE Cabinet,Operations,Original Budget     ,"1,300,000"
2004,Ministry of Education & Training,MoE Cabinet,Payroll,Actual Spent     ,"17,963,530"
2004,Ministry of Education & Training,MoE Cabinet,Payroll,Original Budget     ,"19,252,196"
2004,Ministry of Education & Training,Director General Directorate,Operations,Actual Spent     ,"67,207,907"
2004,Ministry of Education & Training,Director General Directorate,Operations,Original Budget     ,"75,833,000"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Actual Spent     ,"44,261,333"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Original Budget     ,"47,490,907"
2004,Ministry of Education & Training,Director General Directorate,Operations,Actual Spent     ,"2,636,059"
2004,Ministry of Education & Training,Director General Directorate,Operations,Original Budget     ,"3,836,000"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Actual Spent     ,"9,727,250"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Original Budget     ,"432,810,715"
2004,Ministry of Education & Training,Director General Directorate,Operations,Actual Spent     ,"7,628,442"
2004,Ministry of Education & Training,Director General Directorate,Operations,Original Budget     ,"8,085,000"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Actual Spent     ,"34,014,804"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Original Budget     ,"40,314,873"
2004,Ministry of Education & Training,Director General Directorate,Operations,Actual Spent     ,"49,412,349"
2004,Ministry of Education & Training,Director General Directorate,Operations,Original Budget     ,"46,600,000"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Actual Spent     ,"870,755,239"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Original Budget     ,"808,075,502"
2004,Ministry of Education & Training,Director General Directorate,Operations,Actual Spent     ,"71,759,217"
2004,Ministry of Education & Training,Director General Directorate,Operations,Original Budget     ,"90,343,000"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Actual Spent     ,"431,264,967"
2004,Ministry of Education & Training,Director General Directorate,Operations,Actual Spent     ,"124,865,603"
2004,Ministry of Education & Training,Director General Directorate,Operations,Original Budget     ,"27,619,000"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Actual Spent     ,"69,084,451"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Original Budget     ,"82,220,737"
2004,Ministry of Education & Training,Director General Directorate,Operations,Actual Spent     ,"122,121,686"
2004,Ministry of Education & Training,Director General Directorate,Operations,Original Budget     ,"128,821,000"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Actual Spent     ,"51,085,454"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Original Budget     ,"56,970,013"
2004,Ministry of Education & Training,Director General Directorate,Operations,Actual Spent     ,"11,709,478"
2004,Ministry of Education & Training,Director General Directorate,Operations,Original Budget     ,"12,505,438"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Actual Spent     ,"13,865,350"
2004,Ministry of Education & Training,Director General Directorate,Payroll,Original Budget     ,"17,478,175"
2004,Ministry of Education & Training,Director General Directorate,Operations,Actual Spent     ,"22,359,514"
2004,Ministry of Education & Training,Director General Directorate,Operations,Original Budget     ,"22,933,840"
2004,Ministry of Internal Affairs,Internal Affairs Cabinet,Operations,Actual Spent     ,"10,304,957"
2004,Ministry of Internal Affairs,Internal Affairs Cabinet,Operations,Original Budget     ,"2,400,000"
2004,Ministry of Internal Affairs,Internal Affairs Cabinet,Payroll,Actual Spent     ,"22,527,887"
2004,Ministry of Internal Affairs,Internal Affairs Cabinet,Payroll,Original Budget     ,"17,456,782"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,Operations,Actual Spent     ,"193,373,060"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,Operations,Original Budget     ,"202,000,000"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,Payroll,Actual Spent     ,"12,950,465"
