Year,Value
2002,11.6
2003,11.7
2004,11.7
2005,11.4
2006,11.3
2007,10.3
2008,10.3
2009,10.9
2010,11.0
2011,10.3
2012,9.4
2013,10.5
2014,10.3
2015,10.0
2016,9.9
2017,10.3
2018,10.0
2019,9.9
2020,9.5
2021,9.4
2022,9.0
2023,8.8
2024,8.6
