Year,Value,Units,Series
2006,6056,Total,Change in Annual Tourism Arrivals by Air
2007,13166,Total,Change in Annual Tourism Arrivals by Air
2008,9176,Total,Change in Annual Tourism Arrivals by Air
2009,10154,Total,Change in Annual Tourism Arrivals by Air
2010,-3495,Total,Change in Annual Tourism Arrivals by Air
2011,-3220,Total,Change in Annual Tourism Arrivals by Air
2012,14201,Total,Change in Annual Tourism Arrivals by Air
2013,1948,Total,Change in Annual Tourism Arrivals by Air
2014,-1301,Total,Change in Annual Tourism Arrivals by Air
2015,-18856,Total,Change in Annual Tourism Arrivals by Air
2016,5165,Total,Change in Annual Tourism Arrivals by Air
2017,13991,Total,Change in Annual Tourism Arrivals by Air
2018,6526,Total,Change in Annual Tourism Arrivals by Air
2006,22368,Total,Change in Annual Tourism Arrivals by Sea
2007,-185,Total,Change in Annual Tourism Arrivals by Sea
2008,20401,Total,Change in Annual Tourism Arrivals by Sea
2009,18680,Total,Change in Annual Tourism Arrivals by Sea
2010,15650,Total,Change in Annual Tourism Arrivals by Sea
2011,14470,Total,Change in Annual Tourism Arrivals by Sea
2012,58305,Total,Change in Annual Tourism Arrivals by Sea
2013,29403,Total,Change in Annual Tourism Arrivals by Sea
2014,-22441,Total,Change in Annual Tourism Arrivals by Sea
2015,-22734,Total,Change in Annual Tourism Arrivals by Sea
2016,59011,Total,Change in Annual Tourism Arrivals by Sea
2017,-27059,Total,Change in Annual Tourism Arrivals by Sea
2018,11016,Total,Change in Annual Tourism Arrivals by Sea
