Year,Value,Units,Series
2014,15,Percent,Tourism in Outer Islands as Proportion to Total
2015,23,Percent,Tourism in Outer Islands as Proportion to Total
2016,25,Percent,Tourism in Outer Islands as Proportion to Total
2017,25,Percent,Tourism in Outer Islands as Proportion to Total
2018,27,Percent,Tourism in Outer Islands as Proportion to Total
