Year,Value,Units,Series
2015,25,Percent,Literacy Standards Yr 4 Anglo
2017,65,Percent,Literacy Standards Yr 4 Anglo
2015,30,Percent,Literacy Standards Yr 6 Anglo
2017,73,Percent,Literacy Standards Yr 6 Anglo
2015,37,Percent,Numeracy Standards Yr 4 Anglo
2017,85,Percent,Numeracy Standards Yr 4 Anglo
2015,43,Percent,Numeracy Standards Yr 6 Anglo
2017,75,Percent,Numeracy Standards Yr 6 Anglo
2015,5,Percent,Literacy Standards Yr 4 Franco
2017,64,Percent,Literacy Standards Yr 4 Franco
2015,19,Percent,Literacy Standards Yr 6 Franco
2017,41,Percent,Literacy Standards Yr 6 Franco
2015,37,Percent,Numeracy Standards Yr 4 Franco
2015,44,Percent,Numeracy Standards Yr 6 Franco
