Year,Series,Value
2021,Grade 1-6 (%),70
2022,Grade 1-6 (%),75
2023,Grade 1-6 (%),80
2021,Grade 1-13 (%),3
2022,Grade 1-13 (%),4
2023,Grade 1-13 (%),5
