Year,Series,Budget Series,Ministry,Department,Activity,Units,Value
2010,By Ministry,Budget,Constitutional Agencies,,,Value in Millions (VT),602.889241
2010,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),164.821983
2010,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),75.093928
2010,By Ministry,Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,,Value in Millions (VT),9.74137
2010,By Ministry,Budget,Ministry of Education & Training,,,Value in Millions (VT),752.997289
2010,By Ministry,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),3583.148402
2010,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),138.093474
2010,By Ministry,Budget,Ministry of Health,,,Value in Millions (VT),750.51444
2010,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),854.548322
2010,By Ministry,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),523.932715
2010,By Ministry,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),87.43443
2010,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),99.728723
2010,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),190.534173
2010,By Ministry,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),92.24171
2010,By Ministry,Budget,Prime Ministers Ministry,,,Value in Millions (VT),67.106663
2011,By Ministry,Actual,Constitutional Agencies,,,Value in Millions (VT),583.175168
2011,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),171.215805
2011,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),72.172729
2011,By Ministry,Actual,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,,Value in Millions (VT),4.411368
2011,By Ministry,Actual,Ministry of Education & Training,,,Value in Millions (VT),838.693652
2011,By Ministry,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),2805.814176
2011,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),155.850472
2011,By Ministry,Actual,Ministry of Health,,,Value in Millions (VT),615.902408
2011,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),942.723183
2011,By Ministry,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),557.670673
2011,By Ministry,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),114.558808
2011,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),94.383553
2011,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),177.912314
2011,By Ministry,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),148.642544
2011,By Ministry,Actual,Prime Ministers Ministry,,,Value in Millions (VT),77.298015
2011,By Ministry,Budget,Constitutional Agencies,,,Value in Millions (VT),480.11818
2011,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),181.019718
2011,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),76.148253
2011,By Ministry,Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,,Value in Millions (VT),4.488177
2011,By Ministry,Budget,Ministry of Education & Training,,,Value in Millions (VT),815.918858
2011,By Ministry,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),3153.998301
2011,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),127.532738
2011,By Ministry,Budget,Ministry of Health,,,Value in Millions (VT),632.043948
2011,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),933.268969
2011,By Ministry,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),517.631182
2011,By Ministry,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),103.951288
2011,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),82.727001
2011,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),205.416598
2011,By Ministry,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),95.545688
2011,By Ministry,Budget,Prime Ministers Ministry,,,Value in Millions (VT),76.819613
2012,By Ministry,Actual,Constitutional Agencies,,,Value in Millions (VT),857.44106
2012,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),164.494282
2012,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),57.096946
2012,By Ministry,Actual,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,,Value in Millions (VT),2.4429
2012,By Ministry,Actual,Ministry of Education & Training,,,Value in Millions (VT),959.57265
2012,By Ministry,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),3049.50204
2012,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),136.929791
2012,By Ministry,Actual,Ministry of Health,,,Value in Millions (VT),453.761773
2012,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),812.057143
2012,By Ministry,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),569.765707
2012,By Ministry,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),140.887033
2012,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),77.255387
2012,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),267.232254
2012,By Ministry,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),89.412032
