Year,Units,Series,Value
2009,Percent,Population Use of Radio,35
2010,Percent,Population Use of Radio,55
2016,Percent,Population Use of Radio,51
2010,Percent,Population Use of Newspapers,21
2016,Percent,Population Use of Newspapers,5
2009,Percent,Population Use of Television,37
2010,Percent,Population Use of Television,18
2016,Percent,Population Use of Television,7
2009,Percent,Population Use of Internet,3
2010,Percent,Population Use of Internet,2
2016,Percent,Population Use of Internet,8
2009,Percent,Population Ownership of Mobile Phones (15 yr +),76
2010,Percent,Population Ownership of Mobile Phones (15 yr +),85
