Year,Units,Series,Value
2014,Percent,Tourism in Outer Islands as Proportion to Total,15
2015,Percent,Tourism in Outer Islands as Proportion to Total,23
2016,Percent,Tourism in Outer Islands as Proportion to Total,25
2017,Percent,Tourism in Outer Islands as Proportion to Total,25
2018,Percent,Tourism in Outer Islands as Proportion to Total,27
