Year,Series,Region,TypeofSchool,Value
2016,Population3+currentlyattendinganeducationalinstitution,Torba,Seniorsecondary,26
2016,Population3+currentlyattendinganeducationalinstitution,Torba,Tertiary,5
2016,Population3+currentlyattendinganeducationalinstitution,Sanma,,10348
2016,Population3+currentlyattendinganeducationalinstitution,Sanma,Pre-school,3028
2016,Population3+currentlyattendinganeducationalinstitution,Sanma,Primary,6402
2016,Population3+currentlyattendinganeducationalinstitution,Sanma,Juniorsecondary,659
2016,Population3+currentlyattendinganeducationalinstitution,Sanma,Seniorsecondary,221
2016,Population3+currentlyattendinganeducationalinstitution,Sanma,Tertiary,38
2016,Population3+currentlyattendinganeducationalinstitution,Penama,,9374
2016,Population3+currentlyattendinganeducationalinstitution,Penama,Pre-school,2532
2016,Population3+currentlyattendinganeducationalinstitution,Penama,Primary,6211
2016,Population3+currentlyattendinganeducationalinstitution,Penama,Juniorsecondary,512
2016,Population3+currentlyattendinganeducationalinstitution,Penama,Seniorsecondary,98
2016,Population3+currentlyattendinganeducationalinstitution,Penama,Tertiary,21
2016,Population3+currentlyattendinganeducationalinstitution,Malampa,,12040
2016,Population3+currentlyattendinganeducationalinstitution,Malampa,Pre-school,3115
2016,Population3+currentlyattendinganeducationalinstitution,Malampa,Primary,7816
2016,Population3+currentlyattendinganeducationalinstitution,Malampa,Juniorsecondary,936
2016,Population3+currentlyattendinganeducationalinstitution,Malampa,Seniorsecondary,141
2016,Population3+currentlyattendinganeducationalinstitution,Malampa,Tertiary,32
2016,Population3+currentlyattendinganeducationalinstitution,Shefa,,12597
2016,Population3+currentlyattendinganeducationalinstitution,Shefa,Pre-school,2952
2016,Population3+currentlyattendinganeducationalinstitution,Shefa,Primary,7690
2016,Population3+currentlyattendinganeducationalinstitution,Shefa,Juniorsecondary,1095
2016,Population3+currentlyattendinganeducationalinstitution,Shefa,Seniorsecondary,644
2016,Population3+currentlyattendinganeducationalinstitution,Shefa,Tertiary,216
2016,Population3+currentlyattendinganeducationalinstitution,Tafea,,11579
2016,Population3+currentlyattendinganeducationalinstitution,Tafea,Pre-school,2718
2016,Population3+currentlyattendinganeducationalinstitution,Tafea,Primary,7338
2016,Population3+currentlyattendinganeducationalinstitution,Tafea,Juniorsecondary,1206
2016,Population3+currentlyattendinganeducationalinstitution,Tafea,Seniorsecondary,271
2016,Population3+currentlyattendinganeducationalinstitution,Tafea,Tertiary,46
2020,Population3+currentlyattendinganeducationalinstitution,,,83531
2020,Population3+currentlyattendinganeducationalinstitution,,Pre-school,14070
2020,Population3+currentlyattendinganeducationalinstitution,,Primary,43029
2020,Population3+currentlyattendinganeducationalinstitution,,Juniorsecondary,16530
2020,Population3+currentlyattendinganeducationalinstitution,,Seniorsecondary,7756
2020,Population3+currentlyattendinganeducationalinstitution,,Tertiary,2146
2020,Population3+currentlyattendinganeducationalinstitution,PortVila,,13651
2020,Population3+currentlyattendinganeducationalinstitution,PortVila,Pre-school,1757
2020,Population3+currentlyattendinganeducationalinstitution,PortVila,Primary,5850
2020,Population3+currentlyattendinganeducationalinstitution,PortVila,Juniorsecondary,2536
2020,Population3+currentlyattendinganeducationalinstitution,PortVila,Seniorsecondary,2060
2020,Population3+currentlyattendinganeducationalinstitution,PortVila,Tertiary,1448
2020,Population3+currentlyattendinganeducationalinstitution,Luganville,,5075
2020,Population3+currentlyattendinganeducationalinstitution,Luganville,Pre-school,856
2020,Population3+currentlyattendinganeducationalinstitution,Luganville,Primary,2379
2020,Population3+currentlyattendinganeducationalinstitution,Luganville,Juniorsecondary,1039
2020,Population3+currentlyattendinganeducationalinstitution,Luganville,Seniorsecondary,733
2020,Population3+currentlyattendinganeducationalinstitution,Luganville,Tertiary,68
2020,Population3+currentlyattendinganeducationalinstitution,Torba,,2935
2020,Population3+currentlyattendinganeducationalinstitution,Torba,Pre-school,589
2020,Population3+currentlyattendinganeducationalinstitution,Torba,Primary,1606
2020,Population3+currentlyattendinganeducationalinstitution,Torba,Juniorsecondary,584
2020,Population3+currentlyattendinganeducationalinstitution,Torba,Seniorsecondary,148
2020,Population3+currentlyattendinganeducationalinstitution,Torba,Tertiary,8
2020,Population3+currentlyattendinganeducationalinstitution,Sanma,,12116
2020,Population3+currentlyattendinganeducationalinstitution,Sanma,Pre-school,2293
2020,Population3+currentlyattendinganeducationalinstitution,Sanma,Primary,6693
2020,Population3+currentlyattendinganeducationalinstitution,Sanma,Juniorsecondary,2216
2020,Population3+currentlyattendinganeducationalinstitution,Sanma,Seniorsecondary,862
2020,Population3+currentlyattendinganeducationalinstitution,Sanma,Tertiary,52
2020,Population3+currentlyattendinganeducationalinstitution,Penama,,9389
2020,Population3+currentlyattendinganeducationalinstitution,Penama,Pre-school,1773
2020,Population3+currentlyattendinganeducationalinstitution,Penama,Primary,5330
2020,Population3+currentlyattendinganeducationalinstitution,Penama,Juniorsecondary,1710
2020,Population3+currentlyattendinganeducationalinstitution,Penama,Seniorsecondary,509
2020,Population3+currentlyattendinganeducationalinstitution,Penama,Tertiary,67
2020,Population3+currentlyattendinganeducationalinstitution,Malampa,,12436
2020,Population3+currentlyattendinganeducationalinstitution,Malampa,Pre-school,2333
2020,Population3+currentlyattendinganeducationalinstitution,Malampa,Primary,6684
2020,Population3+currentlyattendinganeducationalinstitution,Malampa,Juniorsecondary,2528
2020,Population3+currentlyattendinganeducationalinstitution,Malampa,Seniorsecondary,822
2020,Population3+currentlyattendinganeducationalinstitution,Malampa,Tertiary,69
2020,Population3+currentlyattendinganeducationalinstitution,Shefa,,15143
2020,Population3+currentlyattendinganeducationalinstitution,Shefa,Pre-school,2527
2020,Population3+currentlyattendinganeducationalinstitution,Shefa,Primary,7906
2020,Population3+currentlyattendinganeducationalinstitution,Shefa,Juniorsecondary,2979
2020,Population3+currentlyattendinganeducationalinstitution,Shefa,Seniorsecondary,1377
2020,Population3+currentlyattendinganeducationalinstitution,Shefa,Tertiary,354
2020,Population3+currentlyattendinganeducationalinstitution,Tafea,,12785
2020,Population3+currentlyattendinganeducationalinstitution,Tafea,Pre-school,1942
2020,Population3+currentlyattendinganeducationalinstitution,Tafea,Primary,6581
2020,Population3+currentlyattendinganeducationalinstitution,Tafea,Juniorsecondary,2938
2020,Population3+currentlyattendinganeducationalinstitution,Tafea,Seniorsecondary,1245
