Year,Age,Sex,Urban,Province,Value
2050,20-24,,,Malampa,2962
2020,25-29,,,Malampa,2782
2025,25-29,,,Malampa,3064
2030,25-29,,,Malampa,3244
2035,25-29,,,Malampa,3315
2040,25-29,,,Malampa,3289
2045,25-29,,,Malampa,3173
2050,25-29,,,Malampa,2980
2020,30-34,,,Malampa,2729
2025,30-34,,,Malampa,3142
2030,30-34,,,Malampa,3471
2035,30-34,,,Malampa,3699
2040,30-34,,,Malampa,3823
2045,30-34,,,Malampa,3840
2050,30-34,,,Malampa,3750
2020,35-39,,,Malampa,2338
2025,35-39,,,Malampa,2597
2030,35-39,,,Malampa,2772
2035,35-39,,,Malampa,2857
2040,35-39,,,Malampa,2859
2045,35-39,,,Malampa,2782
2050,35-39,,,Malampa,2635
2020,40-44,,,Malampa,2117
2025,40-44,,,Malampa,2394
2030,40-44,,,Malampa,2597
2035,40-44,,,Malampa,2719
2040,40-44,,,Malampa,2761
2045,40-44,,,Malampa,2724
2050,40-44,,,Malampa,2615
2020,45-49,,,Malampa,1966
2025,45-49,,,Malampa,2256
2030,45-49,,,Malampa,2487
2035,45-49,,,Malampa,2647
2040,45-49,,,Malampa,2735
2045,45-49,,,Malampa,2747
2050,45-49,,,Malampa,2687
2020,50-54,,,Malampa,1606
2025,50-54,,,Malampa,1921
2030,50-54,,,Malampa,2211
2035,50-54,,,Malampa,2458
2040,50-54,,,Malampa,2655
2045,50-54,,,Malampa,2791
2050,50-54,,,Malampa,2859
2020,55-59,,,Malampa,1412
2025,55-59,,,Malampa,1653
2030,55-59,,,Malampa,1858
2035,55-59,,,Malampa,2015
2040,55-59,,,Malampa,2120
2045,55-59,,,Malampa,2167
2050,55-59,,,Malampa,2155
2020,60-64,,,Malampa,1139
2025,60-64,,,Malampa,1410
2030,60-64,,,Malampa,1676
2035,60-64,,,Malampa,1922
2040,60-64,,,Malampa,2140
2045,60-64,,,Malampa,2316
2050,60-64,,,Malampa,2439
2020,65-69,,,Malampa,940
2025,65-69,,,Malampa,1121
2030,65-69,,,Malampa,1282
2035,65-69,,,Malampa,1415
2040,65-69,,,Malampa,1515
2045,65-69,,,Malampa,1577
2050,65-69,,,Malampa,1596
2020,70-74,,,Malampa,623
2025,70-74,,,Malampa,778
2030,70-74,,,Malampa,931
2035,70-74,,,Malampa,1075
2040,70-74,,,Malampa,1204
2045,70-74,,,Malampa,1311
2050,70-74,,,Malampa,1388
2020,75-79,,,Malampa,427
2025,75-79,,,Malampa,462
2030,75-79,,,Malampa,479
2035,75-79,,,Malampa,479
2040,75-79,,,Malampa,464
2045,75-79,,,Malampa,437
2050,75-79,,,Malampa,401
2020,80-84,,,Malampa,248
2025,80-84,,,Malampa,322
2030,80-84,,,Malampa,400
2035,80-84,,,Malampa,481
2040,80-84,,,Malampa,560
2045,80-84,,,Malampa,634
2050,80-84,,,Malampa,698
2020,85+,,,Malampa,304
2025,85+,,,Malampa,317
2030,85+,,,Malampa,317
2035,85+,,,Malampa,306
2040,85+,,,Malampa,287
2045,85+,,,Malampa,261
2050,85+,,,Malampa,231
2020,,,,Shefa Rural,61550
2025,,,,Shefa Rural,85534
2030,,,,Shefa Rural,114399
2035,,,,Shefa Rural,148000
2040,,,,Shefa Rural,186238
2045,,,,Shefa Rural,228305
2050,,,,Shefa Rural,272893
2020,0,,,Shefa Rural,1676
2025,0,,,Shefa Rural,2387
2030,0,,,Shefa Rural,3261
2035,0,,,Shefa Rural,4296
2040,0,,,Shefa Rural,5489
2045,0,,,Shefa Rural,6815
2050,0,,,Shefa Rural,8229
2020,1-4,,,Shefa Rural,6668
2025,1-4,,,Shefa Rural,9404
2030,1-4,,,Shefa Rural,12730
2035,1-4,,,Shefa Rural,16620
2040,1-4,,,Shefa Rural,21051
2045,1-4,,,Shefa Rural,25910
2050,1-4,,,Shefa Rural,31023
2020,5-9,,,Shefa Rural,7808
2025,5-9,,,Shefa Rural,11261
2030,5-9,,,Shefa Rural,15581
2035,5-9,,,Shefa Rural,20786
2040,5-9,,,Shefa Rural,26896
2045,5-9,,,Shefa Rural,33810
2050,5-9,,,Shefa Rural,41337
2020,10-14,,,Shefa Rural,6580
2025,10-14,,,Shefa Rural,8693
2030,10-14,,,Shefa Rural,11017
2035,10-14,,,Shefa Rural,13465
2040,10-14,,,Shefa Rural,15964
2045,10-14,,,Shefa Rural,18389
2050,10-14,,,Shefa Rural,20604
2020,15-19,,,Shefa Rural,5021
2025,15-19,,,Shefa Rural,6116
2030,15-19,,,Shefa Rural,7148
2035,15-19,,,Shefa Rural,8055
2040,15-19,,,Shefa Rural,8805
2045,15-19,,,Shefa Rural,9350
2050,15-19,,,Shefa Rural,9656
2020,20-24,,,Shefa Rural,5553
2025,20-24,,,Shefa Rural,7541
2030,20-24,,,Shefa Rural,9826
2035,20-24,,,Shefa Rural,12349
2040,20-24,,,Shefa Rural,15052
2045,20-24,,,Shefa Rural,17825
2050,20-24,,,Shefa Rural,20529
2020,25-29,,,Shefa Rural,5271
2025,25-29,,,Shefa Rural,7879
2030,25-29,,,Shefa Rural,11303
2035,25-29,,,Shefa Rural,15641
2040,25-29,,,Shefa Rural,20995
2045,25-29,,,Shefa Rural,27381
2050,25-29,,,Shefa Rural,34728
2020,30-34,,,Shefa Rural,4622
2025,30-34,,,Shefa Rural,6615
2030,30-34,,,Shefa Rural,9087
2035,30-34,,,Shefa Rural,12048
2040,30-34,,,Shefa Rural,15501
2045,30-34,,,Shefa Rural,19388
2050,30-34,,,Shefa Rural,23595
2020,35-39,,,Shefa Rural,3554
2025,35-39,,,Shefa Rural,4668
2030,35-39,,,Shefa Rural,5884
2035,35-39,,,Shefa Rural,7157
2040,35-39,,,Shefa Rural,8443
2045,35-39,,,Shefa Rural,9679
2050,35-39,,,Shefa Rural,10792
2020,40-44,,,Shefa Rural,3263
2025,40-44,,,Shefa Rural,4521
2030,40-44,,,Shefa Rural,6011
2035,40-44,,,Shefa Rural,7708
2040,40-44,,,Shefa Rural,9587
2045,40-44,,,Shefa Rural,11584
2050,40-44,,,Shefa Rural,13614
2020,45-49,,,Shefa Rural,3004
2025,45-49,,,Shefa Rural,4294
2030,45-49,,,Shefa Rural,5889
2035,45-49,,,Shefa Rural,7789
2040,45-49,,,Shefa Rural,9992
2045,45-49,,,Shefa Rural,12454
2050,45-49,,,Shefa Rural,15096
2020,50-54,,,Shefa Rural,2508
2025,50-54,,,Shefa Rural,3664
2030,50-54,,,Shefa Rural,5138
2035,50-54,,,Shefa Rural,6957
2040,50-54,,,Shefa Rural,9143
2045,50-54,,,Shefa Rural,11685
2050,50-54,,,Shefa Rural,14535
2020,55-59,,,Shefa Rural,1960
2025,55-59,,,Shefa Rural,2798
2030,55-59,,,Shefa Rural,3833
2035,55-59,,,Shefa Rural,5068
2040,55-59,,,Shefa Rural,6503
2045,55-59,,,Shefa Rural,8112
2050,55-59,,,Shefa Rural,9847
2020,60-64,,,Shefa Rural,1519
2025,60-64,,,Shefa Rural,2250
2030,60-64,,,Shefa Rural,3197
2035,60-64,,,Shefa Rural,4381
2040,60-64,,,Shefa Rural,5824
2045,60-64,,,Shefa Rural,7523
2050,60-64,,,Shefa Rural,9451
2020,65-69,,,Shefa Rural,1001
2025,65-69,,,Shefa Rural,1292
2030,65-69,,,Shefa Rural,1599
2035,65-69,,,Shefa Rural,1910
2040,65-69,,,Shefa Rural,2212
2045,65-69,,,Shefa Rural,2489
2050,65-69,,,Shefa Rural,2724
2020,70-74,,,Shefa Rural,686
2025,70-74,,,Shefa Rural,994
2030,70-74,,,Shefa Rural,1383
2035,70-74,,,Shefa Rural,1858
2040,70-74,,,Shefa Rural,2421
2045,70-74,,,Shefa Rural,3068
2050,70-74,,,Shefa Rural,3784
2020,75-79,,,Shefa Rural,474
2025,75-79,,,Shefa Rural,677
2030,75-79,,,Shefa Rural,930
2035,75-79,,,Shefa Rural,1235
2040,75-79,,,Shefa Rural,1592
2045,75-79,,,Shefa Rural,1999
2050,75-79,,,Shefa Rural,2444
2020,80-84,,,Shefa Rural,193
2025,80-84,,,Shefa Rural,249
2030,80-84,,,Shefa Rural,309
2035,80-84,,,Shefa Rural,371
2040,80-84,,,Shefa Rural,431
2045,80-84,,,Shefa Rural,487
2050,80-84,,,Shefa Rural,536
2020,85+,,,Shefa Rural,190
2025,85+,,,Shefa Rural,232
2030,85+,,,Shefa Rural,271
2035,85+,,,Shefa Rural,306
2040,85+,,,Shefa Rural,335
2045,85+,,,Shefa Rural,357
2050,85+,,,Shefa Rural,370
2020,,,,,43353
2025,,,,,52769
2030,,,,,61776
2035,,,,,69925
2040,,,,,76988
2045,,,,,82619
2050,,,,,86550
2020,0,,,,1286
2025,0,,,,1513
2030,0,,,,1709
2035,0,,,,1864
2040,0,,,,1976
2045,0,,,,2037
2050,0,,,,2046
2020,1-4,,,,5663
2025,1-4,,,,6748
2030,1-4,,,,7714
2035,1-4,,,,8501
2040,1-4,,,,9087
2045,1-4,,,,9437
2050,1-4,,,,9531
2020,5-9,,,,6620
2025,5-9,,,,7897
2030,5-9,,,,9038
2035,5-9,,,,9973
2040,5-9,,,,10673
2045,5-9,,,,11097
2050,5-9,,,,11221
2020,10-14,,,,5619
2025,10-14,,,,6647
2030,10-14,,,,7541
2035,10-14,,,,8249
2040,10-14,,,,8750
2045,10-14,,,,9017
2050,10-14,,,,9037
2020,15-19,,,,3893
2025,15-19,,,,4834
2030,15-19,,,,5766
2035,15-19,,,,6637
2040,15-19,,,,7416
2045,15-19,,,,8057
2050,15-19,,,,8520
2020,20-24,,,,3587
2025,20-24,,,,4455
2030,20-24,,,,5320
2035,20-24,,,,6137
2040,20-24,,,,6874
2045,20-24,,,,7489
2050,20-24,,,,7944
2020,25-29,,,,3108
2025,25-29,,,,3765
2030,25-29,,,,4378
2035,25-29,,,,4913
2040,25-29,,,,5347
2045,25-29,,,,5655
2050,25-29,,,,5817
2020,30-34,,,,2734
2025,30-34,,,,3434
2030,30-34,,,,4143
2035,30-34,,,,4823
2040,30-34,,,,5448
2045,30-34,,,,5982
2050,30-34,,,,6390
2020,35-39,,,,2058
2025,35-39,,,,2360
2030,35-39,,,,2597
2035,35-39,,,,2756
2040,35-39,,,,2838
2045,35-39,,,,2839
2050,35-39,,,,2763
2020,40-44,,,,1949
2025,40-44,,,,2452
2030,40-44,,,,2962
2035,40-44,,,,3453
2040,40-44,,,,3906
2045,40-44,,,,4296
2050,40-44,,,,4596
2020,45-49,,,,1727
2025,45-49,,,,2144
2030,45-49,,,,2558
2035,45-49,,,,2950
2040,45-49,,,,3305
2045,45-49,,,,3603
2050,45-49,,,,3826
2020,50-54,,,,1273
2025,50-54,,,,1601
2030,50-54,,,,1932
2035,50-54,,,,2249
2040,50-54,,,,2541
2045,50-54,,,,2790
2050,50-54,,,,2979
2020,55-59,,,,1102
2025,55-59,,,,1352
2030,55-59,,,,1593
2035,55-59,,,,1811
2040,55-59,,,,1997
2045,55-59,,,,2141
2050,55-59,,,,2232
2020,60-64,,,,974
2025,60-64,,,,1347
2030,60-64,,,,1788
2035,60-64,,,,2292
2040,60-64,,,,2851
2045,60-64,,,,3446
2050,60-64,,,,4052
2020,65-69,,,,653
2025,65-69,,,,744
2030,65-69,,,,815
2035,65-69,,,,862
2040,65-69,,,,885
2045,65-69,,,,883
2050,65-69,,,,858
2020,70-74,,,,445
2025,70-74,,,,573
2030,70-74,,,,709
2035,70-74,,,,849
2040,70-74,,,,987
2045,70-74,,,,1116
2050,70-74,,,,1230
2020,75-79,,,,298
2025,75-79,,,,352
2030,75-79,,,,398
2035,75-79,,,,435
2040,75-79,,,,461
2045,75-79,,,,475
2050,75-79,,,,476
2020,80-84,,,,191
2025,80-84,,,,311
2030,80-84,,,,486
2035,80-84,,,,733
2040,80-84,,,,1073
2045,80-84,,,,1526
2050,80-84,,,,2112
2020,85+,,,,170
2025,85+,,,,240
2030,85+,,,,329
2035,85+,,,,438
2040,85+,,,,572
2045,85+,,,,732
2050,85+,,,,917
