Year,Units,Series,Value
2006,Percent,21111,2.2
2007,Percent,21111,2.4
2008,Percent,21111,2.4
2009,Percent,21111,2.4
2010,Percent,21111,2.4
2011,Percent,21111,2.4
2012,Percent,21111,2.4
2013,Percent,21111,2.4
2014,Percent,21111,2.4
2009,Percent,21112,44.3
2007,Total,21113,38879.0
