Year,Units,Series,Value
2009,Percent,16710,35
2010,Percent,16710,55
2016,Percent,16710,51
2010,Percent,16711,21
2016,Percent,16711,5
2009,Percent,16712,37
2010,Percent,16712,18
2016,Percent,16712,7
2009,Percent,16713,3
2010,Percent,16713,2
2016,Percent,16713,8
2009,Percent,16714,76
2010,Percent,16714,85
