Year,Series,Arrivals,Purpose of Visit,Country,Value
2009.0,Purpose,,"Business, meetings & conferences",,9420
2009.0,Purpose,,Stop over,,510
2009.0,Purpose,,"Others, education, sports",,289
2010.0,Purpose,,Holidays,,80681
2010.0,Purpose,,Visiting friends and relatives,,6079
2010.0,Purpose,,"Business, meetings & conferences",,9615
2010.0,Purpose,,Stop over,,692
2010.0,Purpose,,"Others, education, sports",,113
2011.0,Purpose,,Holidays,,75821
2011.0,Purpose,,Visiting friends and relatives,,7320
2011.0,Purpose,,"Business, meetings & conferences",,9933
2011.0,Purpose,,Stop over,,790
2011.0,Purpose,,"Others, education, sports",,96
2012.0,Purpose,,Holidays,,88085
2012.0,Purpose,,Visiting friends and relatives,,7910
2012.0,Purpose,,"Business, meetings & conferences",,11294
2012.0,Purpose,,Stop over,,602
2012.0,Purpose,,"Others, education, sports",,270
2013.0,Purpose,,Holidays,,89253
2013.0,Purpose,,Visiting friends and relatives,,7755
2013.0,Purpose,,"Business, meetings & conferences",,9079
2013.0,Purpose,,Stop over,,613
2013.0,Purpose,,"Others, education, sports",,3409
2014.0,Purpose,,Holidays,,86239
2014.0,Purpose,,Visiting friends and relatives,,7672
2014.0,Purpose,,"Business, meetings & conferences",,8007
2014.0,Purpose,,Stop over,,1022
2014.0,Purpose,,"Others, education, sports",,5868
2015.0,Purpose,,Holidays,,63625
2015.0,Purpose,,Visiting friends and relatives,,8495
2015.0,Purpose,,"Business, meetings & conferences",,8687
2015.0,Purpose,,Stop over,,336
2015.0,Purpose,,"Others, education, sports",,8809
2016.0,Purpose,,Holidays,,71088
2016.0,Purpose,,Visiting friends and relatives,,8300
2016.0,Purpose,,"Business, meetings & conferences",,8521
2016.0,Purpose,,Stop over,,551
2016.0,Purpose,,"Others, education, sports",,6657
2017.0,Purpose,,Holidays,,83465
2017.0,Purpose,,Visiting friends and relatives,,8940
2017.0,Purpose,,"Business, meetings & conferences",,8338
2017.0,Purpose,,Stop over,,897
2017.0,Purpose,,"Others, education, sports",,7530
2018.0,Purpose,,Holidays,,91726
2018.0,Purpose,,Visiting friends and relatives,,8616
2018.0,Purpose,,"Business, meetings & conferences",,7552
2018.0,Purpose,,Stop over,,645
2018.0,Purpose,,"Others, education, sports",,7095
2019.0,Purpose,,Holidays,,95849
2019.0,Purpose,,Visiting friends and relatives,,8764
2019.0,Purpose,,"Business, meetings & conferences",,8059
2019.0,Purpose,,Stop over,,524
2019.0,Purpose,,"Others, education, sports",,7432
2020.0,Purpose,,Holidays,,17166
2020.0,Purpose,,Visiting friends and relatives,,1445
2020.0,Purpose,,"Business, meetings & conferences",,1085
2020.0,Purpose,,Stop over,,448
2020.0,Purpose,,"Others, education, sports",,1821
2021.0,Purpose,,Holidays,,0
2021.0,Purpose,,Visiting friends and relatives,,0
2021.0,Purpose,,"Business, meetings & conferences",,0
2021.0,Purpose,,Stop over,,0
2021.0,Purpose,,"Others, education, sports",,0
2022.0,Purpose,,Holidays,,23859
2022.0,Purpose,,Visiting friends and relatives,,3202
2022.0,Purpose,,"Business, meetings & conferences",,1757
2022.0,Purpose,,Stop over,,204
2022.0,Purpose,,"Others, education, sports",,1352
2023.0,Purpose,,Holidays,,66478
2023.0,Purpose,,Visiting friends and relatives,,3870
2023.0,Purpose,,"Business, meetings & conferences",,2705
2023.0,Purpose,,Stop over,,742
2023.0,Purpose,,"Others, education, sports",,3204
2024.0,Purpose,,Holidays,,43431
2024.0,Purpose,,Visiting friends and relatives,,4791
2024.0,Purpose,,"Business, meetings & conferences",,4180
2024.0,Purpose,,Stop over,,500
2024.0,Purpose,,"Others, education, sports",,6176
2005.0,Usual country of residence,,,,62286
2006.0,Usual country of residence,,,,68179
2007.0,Usual country of residence,,,,72107
2008.0,Usual country of residence,,,,90657
2009.0,Usual country of residence,,,,100675
2010.0,Usual country of residence,,,,97180
2011.0,Usual country of residence,,,,93960
2012.0,Usual country of residence,,,,108161
2013.0,Usual country of residence,,,,110109
2014.0,Usual country of residence,,,,108808
2015.0,Usual country of residence,,,,89952
2016.0,Usual country of residence,,,,95117
2017.0,Usual country of residence,,,,109170
2018.0,Usual country of residence,,,,115634
2019.0,Usual country of residence,,,,120628
2020.0,Usual country of residence,,,,21965
2021.0,Usual country of residence,,,,0
2022.0,Usual country of residence,,,,30373
2023.0,Usual country of residence,,,,76999
2024.0,Usual country of residence,,,,59078
2005.0,Usual country of residence,,,Australia,38190
2005.0,Usual country of residence,,,New Zealand,7700
2005.0,Usual country of residence,,,New Caledonia,6817
2005.0,Usual country of residence,,,Other Pacific Countries,2735
2005.0,Usual country of residence,,,Europe,3516
2005.0,Usual country of residence,,,North America,1637
2005.0,Usual country of residence,,,Japan,584
2005.0,Usual country of residence,,,China,0
2005.0,Usual country of residence,,,Other Countries,1106
2006.0,Usual country of residence,,,Australia,40385
2006.0,Usual country of residence,,,New Zealand,9821
2006.0,Usual country of residence,,,New Caledonia,7480
2006.0,Usual country of residence,,,Other Pacific Countries,2681
2006.0,Usual country of residence,,,Europe,4021
2006.0,Usual country of residence,,,North America,1896
2006.0,Usual country of residence,,,Japan,656
2006.0,Usual country of residence,,,China,0
2006.0,Usual country of residence,,,Other Countries,1239
2007.0,Usual country of residence,,,Australia,41952
2007.0,Usual country of residence,,,New Zealand,12438
2007.0,Usual country of residence,,,New Caledonia,7140
2007.0,Usual country of residence,,,Other Pacific Countries,2438
2007.0,Usual country of residence,,,Europe,3459
2007.0,Usual country of residence,,,North America,2422
2007.0,Usual country of residence,,,Japan,675
2007.0,Usual country of residence,,,China,0
2007.0,Usual country of residence,,,Other Countries,1582
2008.0,Usual country of residence,,,Australia,53251
2008.0,Usual country of residence,,,New Zealand,13916
2008.0,Usual country of residence,,,New Caledonia,9648
2008.0,Usual country of residence,,,Other Pacific Countries,3759
2008.0,Usual country of residence,,,Europe,4887
2008.0,Usual country of residence,,,North America,2578
2008.0,Usual country of residence,,,Japan,590
2008.0,Usual country of residence,,,China,
2008.0,Usual country of residence,,,Other Countries,2028
2009.0,Usual country of residence,,,Australia,64909
2009.0,Usual country of residence,,,New Zealand,12607
2009.0,Usual country of residence,,,New Caledonia,9155
2009.0,Usual country of residence,,,Other Pacific Countries,3708
2009.0,Usual country of residence,,,Europe,4890
2009.0,Usual country of residence,,,North America,2549
2009.0,Usual country of residence,,,Japan,642
2009.0,Usual country of residence,,,China,573
2009.0,Usual country of residence,,,Other Countries,1643
2010.0,Usual country of residence,,,Australia,58760
2010.0,Usual country of residence,,,New Zealand,11927
2010.0,Usual country of residence,,,New Caledonia,11410
2010.0,Usual country of residence,,,Other Pacific Countries,4719
2010.0,Usual country of residence,,,Europe,4888
2010.0,Usual country of residence,,,North America,2395
2010.0,Usual country of residence,,,Japan,517
2010.0,Usual country of residence,,,China,693
2010.0,Usual country of residence,,,Other Countries,1871
2011.0,Usual country of residence,,,Australia,57843
2011.0,Usual country of residence,,,New Zealand,11399
2011.0,Usual country of residence,,,New Caledonia,11376
2011.0,Usual country of residence,,,Other Pacific Countries,3397
2011.0,Usual country of residence,,,Europe,5265
2011.0,Usual country of residence,,,North America,1922
2011.0,Usual country of residence,,,Japan,630
2011.0,Usual country of residence,,,China,581
2011.0,Usual country of residence,,,Other Countries,1547
2012.0,Usual country of residence,,,Australia,65405
2012.0,Usual country of residence,,,New Zealand,14430
2012.0,Usual country of residence,,,New Caledonia,13138
2012.0,Usual country of residence,,,Other Pacific Countries,4313
2012.0,Usual country of residence,,,Europe,5491
2012.0,Usual country of residence,,,North America,2094
2012.0,Usual country of residence,,,Japan,705
2012.0,Usual country of residence,,,China,623
2012.0,Usual country of residence,,,Other Countries,1962
2013.0,Usual country of residence,,,Australia,65776
2013.0,Usual country of residence,,,New Zealand,15068
2013.0,Usual country of residence,,,New Caledonia,12515
2013.0,Usual country of residence,,,Other Pacific Countries,4874
2013.0,Usual country of residence,,,Europe,5544
2013.0,Usual country of residence,,,North America,2614
2013.0,Usual country of residence,,,Japan,659
2013.0,Usual country of residence,,,China,1062
2013.0,Usual country of residence,,,Other Countries,1997
2014.0,Usual country of residence,,,Australia,60808
2014.0,Usual country of residence,,,New Zealand,16293
2014.0,Usual country of residence,,,New Caledonia,12756
2014.0,Usual country of residence,,,Other Pacific Countries,6630
2014.0,Usual country of residence,,,Europe,5591
2014.0,Usual country of residence,,,North America,2373
2014.0,Usual country of residence,,,Japan,763
2014.0,Usual country of residence,,,China,1563
2014.0,Usual country of residence,,,Other Countries,2031
2015.0,Usual country of residence,,,Australia,46098
2015.0,Usual country of residence,,,New Zealand,13422
2015.0,Usual country of residence,,,New Caledonia,10567
2015.0,Usual country of residence,,,Other Pacific Countries,5953
2015.0,Usual country of residence,,,Europe,5839
2015.0,Usual country of residence,,,North America,2962
2015.0,Usual country of residence,,,Japan,633
2015.0,Usual country of residence,,,China,2186
2015.0,Usual country of residence,,,Other Countries,2292
2016.0,Usual country of residence,,,Australia,49752
2016.0,Usual country of residence,,,New Zealand,10931
2016.0,Usual country of residence,,,New Caledonia,9681
2016.0,Usual country of residence,,,Other Pacific Countries,5705
2016.0,Usual country of residence,,,Europe,10067
2016.0,Usual country of residence,,,North America,2893
2016.0,Usual country of residence,,,Japan,903
2016.0,Usual country of residence,,,China,2736
2016.0,Usual country of residence,,,Other Countries,2449
2017.0,Usual country of residence,,,Australia,57387
2017.0,Usual country of residence,,,New Zealand,11554
2017.0,Usual country of residence,,,New Caledonia,15880
2017.0,Usual country of residence,,,Other Pacific Countries,7147
2017.0,Usual country of residence,,,Europe,6806
2017.0,Usual country of residence,,,North America,3016
2017.0,Usual country of residence,,,Japan,1076
2017.0,Usual country of residence,,,China,3612
2017.0,Usual country of residence,,,Other Countries,2692
2018.0,Usual country of residence,,,Australia,60616
2018.0,Usual country of residence,,,New Zealand,13432
2018.0,Usual country of residence,,,New Caledonia,15105
2018.0,Usual country of residence,,,Other Pacific Countries,6545
2018.0,Usual country of residence,,,Europe,8023
2018.0,Usual country of residence,,,North America,3347
2018.0,Usual country of residence,,,Japan,963
2018.0,Usual country of residence,,,China,4007
2018.0,Usual country of residence,,,Other Countries,3596
2019.0,Usual country of residence,,,Australia,63122
2019.0,Usual country of residence,,,New Zealand,15085
2019.0,Usual country of residence,,,New Caledonia,14738
2019.0,Usual country of residence,,,Other Pacific Countries,6560
2019.0,Usual country of residence,,,Europe,8992
2019.0,Usual country of residence,,,North America,3120
2019.0,Usual country of residence,,,Japan,1107
2019.0,Usual country of residence,,,China,4671
2019.0,Usual country of residence,,,Other Countries,3233
2020.0,Usual country of residence,,,Australia,11248
2020.0,Usual country of residence,,,New Zealand,1819
2020.0,Usual country of residence,,,New Caledonia,3778
2020.0,Usual country of residence,,,Other Pacific Countries,1241
2020.0,Usual country of residence,,,Europe,1728
2020.0,Usual country of residence,,,North America,692
2020.0,Usual country of residence,,,Japan,171
2020.0,Usual country of residence,,,China,680
2020.0,Usual country of residence,,,Other Countries,608
2021.0,Usual country of residence,,,Australia,0
2021.0,Usual country of residence,,,New Zealand,0
2021.0,Usual country of residence,,,New Caledonia,0
2021.0,Usual country of residence,,,Other Pacific Countries,0
2021.0,Usual country of residence,,,Europe,0
2021.0,Usual country of residence,,,North America,0
2021.0,Usual country of residence,,,Japan,0
2021.0,Usual country of residence,,,China,0
2021.0,Usual country of residence,,,Other Countries,0
2022.0,Usual country of residence,,,Australia,17460
2022.0,Usual country of residence,,,New Zealand,4124
2022.0,Usual country of residence,,,New Caledonia,3224
2022.0,Usual country of residence,,,Other Pacific Countries,1613
2022.0,Usual country of residence,,,Europe,1981
2022.0,Usual country of residence,,,North America,761
2022.0,Usual country of residence,,,Japan,118
2022.0,Usual country of residence,,,China,406
2022.0,Usual country of residence,,,Other Countries,686
2023.0,Usual country of residence,,,Australia,45232
2023.0,Usual country of residence,,,New Zealand,8536
2023.0,Usual country of residence,,,New Caledonia,6347
2023.0,Usual country of residence,,,Other Pacific Countries,3177
2023.0,Usual country of residence,,,Europe,7399
2023.0,Usual country of residence,,,North America,1993
2023.0,Usual country of residence,,,Japan,528
2023.0,Usual country of residence,,,China,2056
2023.0,Usual country of residence,,,Other Countries,1731
2024.0,Usual country of residence,,,Australia,33450
2024.0,Usual country of residence,,,New Zealand,4738
2024.0,Usual country of residence,,,New Caledonia,1349
2024.0,Usual country of residence,,,Other Pacific Countries,3791
2024.0,Usual country of residence,,,Europe,7936
2024.0,Usual country of residence,,,North America,2439
2024.0,Usual country of residence,,,Japan,559
2024.0,Usual country of residence,,,China,2633
2024.0,Usual country of residence,,,Other Countries,2183
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
