Year,Units,Series,Value
2006,Total,22421,766
2007,Total,22421,1008
2008,Total,22421,1409
2009,Total,22421,1118
2010,Total,22421,1157
2011,Total,22421,1162
2012,Total,22421,1026
2013,Total,22421,1231
2014,Total,22421,1141
2015,Total,22421,1049
2016,Total,22421,1300
2017,Total,22421,1649
2018,Total,22421,1653
