Year,Province,Value
2021,,38
2022,,56
2023,,60
2021,Torba,4
2021,Sanma,6
2021,Penama,1
2021,Malampa,11
2021,Shefa,8
2021,Tafea,8
2022,Torba,6
2022,Sanma,8
2022,Penama,6
2022,Malampa,15
2022,Shefa,10
2022,Tafea,11
2023,Torba,1
2023,Sanma,5
2023,Penama,5
2023,Malampa,18
2023,Shefa,17
2023,Tafea,14
