Year,Series,Ministry,Department,Unit,Value
2004,Original Budget,,,Millions in Vatu (VUV),8516
2005,Original Budget,,,Millions in Vatu (VUV),8978
2006,Original Budget,,,Millions in Vatu (VUV),9683
2007,Original Budget,,,Millions in Vatu (VUV),11732
2008,Original Budget,,,Millions in Vatu (VUV),13328
2009,Original Budget,,,Millions in Vatu (VUV),14095
2010,Original Budget,,,Millions in Vatu (VUV),15501
2011,Original Budget,,,Millions in Vatu (VUV),15112
2012,Original Budget,,,Millions in Vatu (VUV),16180
2013,Original Budget,,,Millions in Vatu (VUV),16285
2014,Original Budget,,,Millions in Vatu (VUV),16797
2015,Original Budget,,,Millions in Vatu (VUV),17774
2016,Original Budget,,,Millions in Vatu (VUV),19076
2017,Original Budget,,,Millions in Vatu (VUV),20242
2018,Original Budget,,,Millions in Vatu (VUV),24694
2019,Original Budget,,,Millions in Vatu (VUV),27340
2020,Original Budget,,,Millions in Vatu (VUV),36020
2021,Original Budget,,,Millions in Vatu (VUV),38148
2022,Original Budget,,,Millions in Vatu (VUV),39291
2023,Original Budget,,,Millions in Vatu (VUV),41830
2024,Original Budget,,,Millions in Vatu (VUV),57051
2004,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),589
2004,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),281
2004,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),42
2004,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),19
2004,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),1922
2004,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),2617
2004,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),158
2004,Original Budget,Ministry of Health,,Millions in Vatu (VUV),942
2004,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),591
2004,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),928
2004,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),33
2004,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),206
2004,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),86
2004,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),19
2004,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),81
2005,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),729
2005,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),292
2005,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),65
2005,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),24
2005,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),1993
2005,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),2641
2005,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),161
2005,Original Budget,Ministry of Health,,Millions in Vatu (VUV),982
2005,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),607
2005,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1023
2005,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),43
2005,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),197
2005,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),99
2005,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),24
2005,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),96
2006,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),797
2006,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),387
2006,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),78
2006,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),27
2006,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),2039
2006,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),2994
2006,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),224
2006,Original Budget,Ministry of Health,,Millions in Vatu (VUV),998
2006,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),608
2006,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),959
2006,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),112
2006,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),213
2006,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),103
2006,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),24
2006,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),121
2007,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),889
2007,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),407
2007,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),88
2007,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),29
2007,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),3151
2007,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),2509
2007,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),238
2007,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1415
2007,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1348
2007,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1013
2007,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),150
2007,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),201
2007,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),117
2007,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),26
2007,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),151
2008,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1062
2008,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),332
2008,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),124
2008,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),26
2008,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),3185
2008,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),3577
2008,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),358
2008,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1472
2008,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1265
2008,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1232
2008,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),151
2008,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),215
2008,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),111
2008,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),75
2008,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),142
2009,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1066
2009,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),381
2009,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),160
2009,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),31
2009,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),3210
2009,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),3836
2009,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),296
2009,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1450
2009,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1247
2009,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1319
2009,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),202
2009,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),291
2009,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),324
2009,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),104
2009,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),178
2010,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1096
2010,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),452
2010,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),208
2010,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),41
2010,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),3624
2010,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),4142
2010,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),361
2010,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1736
2010,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1268
2010,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1380
2010,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),241
2010,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),286
2010,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),326
2010,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),151
2010,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),189
2011,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1100
2011,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),476
2011,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),201
2011,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),36
2011,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),3764
2011,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),3696
2011,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),360
2011,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1596
2011,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1288
2011,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1351
2011,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),303
2011,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),267
2011,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),330
2011,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),147
2011,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),198
2012,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1401
2012,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),428
2012,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),192
2012,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),36
2012,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),3905
2012,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),4123
2012,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),333
2012,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1535
2012,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1269
2012,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1492
2012,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),460
2012,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),239
2012,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),408
2012,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),146
2012,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),215
2013,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1140
2013,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),442
2013,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),196
2013,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),36
2013,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),3987
2013,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),4344
2013,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),338
2013,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1610
2013,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1269
2013,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1404
2013,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),312
2013,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),242
2013,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),340
2013,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),105
2013,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),521
2014,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1130
2014,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),482
2014,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),235
2014,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),4178
2014,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),4332
2014,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),366
2014,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1642
2014,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1547
2014,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1361
2014,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),328
2014,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),232
2014,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),288
2014,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),154
2014,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),523
2015,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1197
2015,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),569
2015,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),238
2015,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),4304
2015,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),4738
2015,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),425
2015,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1949
2015,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1307
2015,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1469
2015,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),333
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),266
2015,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),281
2015,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),155
2015,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),542
2016,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1287
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),591
2016,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),287
2016,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),3950
2016,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),6082
2016,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),380
2016,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1735
2016,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1543
2016,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1493
2016,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),352
2016,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),272
2016,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),314
2016,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),164
2016,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),626
2017,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1387
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),636
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),367
2017,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),4463
2017,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),5754
2017,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),417
2017,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1990
2017,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1565
2017,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1559
2017,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),393
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),326
2017,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),345
2017,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),385
2017,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),654
2018,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1843
2018,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),797
2018,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),376
2018,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),5503
2018,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),7118
2018,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),498
2018,Original Budget,Ministry of Health,,Millions in Vatu (VUV),2770
2018,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1607
2018,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1946
2018,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),429
2018,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),427
2018,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),421
2018,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),181
2018,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),777
2019,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),2065
2019,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),1146
2019,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),474
2019,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),6215
2019,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),7141
2019,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),571
2019,Original Budget,Ministry of Health,,Millions in Vatu (VUV),2996
2019,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1657
2019,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),2423
2019,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),682
2019,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),412
2019,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),561
2019,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),190
2019,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),807
2020,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),2528
2020,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),1344
2020,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),659
2020,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),7299
2020,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),12503
2020,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),679
2020,Original Budget,Ministry of Health,,Millions in Vatu (VUV),3297
2020,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1740
2020,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),2919
2020,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),774
2020,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),576
2020,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),649
2020,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),201
2020,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),852
2021,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),2393
2021,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,Millions in Vatu (VUV),1736
2021,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),688
2021,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),9140
2021,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),9240
2021,Original Budget,"Ministry of Fisheries, Oceans and Maritime Affairs",,Millions in Vatu (VUV),457
2021,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),739
2021,Original Budget,Ministry of Health,,Millions in Vatu (VUV),3167
2021,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),4202
2021,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),2873
2021,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),468
2021,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),1332
2021,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),67
2021,Original Budget,"Ministry of Youth, Justice and Community Services",,Millions in Vatu (VUV),719
2021,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),925
2022,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),2449
2022,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,Millions in Vatu (VUV),1813
2022,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),710
2022,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),9434
2022,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),9662
2022,Original Budget,"Ministry of Fisheries, Oceans and Maritime Affairs",,Millions in Vatu (VUV),365
2022,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),726
2022,Original Budget,Ministry of Health,,Millions in Vatu (VUV),3483
2022,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),3303
2022,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),3185
2022,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),997
2022,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),1164
2022,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),81
2022,Original Budget,"Ministry of Youth, Justice and Community Services",,Millions in Vatu (VUV),989
2022,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),932
2023,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),2696
2023,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,Millions in Vatu (VUV),1698
2023,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),1121
2023,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),10070
2023,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),10295
2023,Original Budget,"Ministry of Fisheries, Oceans and Maritime Affairs",,Millions in Vatu (VUV),457
2023,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),739
2023,Original Budget,Ministry of Health,,Millions in Vatu (VUV),4187
2023,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),2247
2023,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),3240
2023,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),1067
2023,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),1324
2023,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),74
2023,Original Budget,"Ministry of Youth, Justice and Community Services",,Millions in Vatu (VUV),1020
2023,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),1595
2024,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),2962
2024,Original Budget,"Ministry of Agriculture, Livestock, Forestry and Biosecurity",,Millions in Vatu (VUV),1663
2024,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),1085
2024,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),10416
2024,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),16922
