Year,Series,Region,Wall Material,Roof Material,Type of Lighting,Type of Cooking Fuel,Unnamed: 8,Value
2020,Number of private households main source cooking fuel,Torba,,,,Electricity,,6
2020,Number of private households main source cooking fuel,Torba,,,,Gas,,12
2020,Number of private households main source cooking fuel,Torba,,,,"Open fire (wood , coconut shells)",,2284
2020,Number of private households main source cooking fuel,Torba,,,,Others,,88
2020,Number of private households main source cooking fuel,Sanma,,,,,,9306
2020,Number of private households main source cooking fuel,Sanma,,,,Charcoal,,4
2020,Number of private households main source cooking fuel,Sanma,,,,Electricity,,123
2020,Number of private households main source cooking fuel,Sanma,,,,Gas,,206
2020,Number of private households main source cooking fuel,Sanma,,,,"Open fire (wood , coconut shells)",,8376
2020,Number of private households main source cooking fuel,Sanma,,,,Others,,597
2020,Number of private households main source cooking fuel,Penama,,,,,,7863
2020,Number of private households main source cooking fuel,Penama,,,,Charcoal,,1
2020,Number of private households main source cooking fuel,Penama,,,,Electricity,,2
2020,Number of private households main source cooking fuel,Penama,,,,Gas,,132
2020,Number of private households main source cooking fuel,Penama,,,,"Open fire (wood , coconut shells)",,7138
2020,Number of private households main source cooking fuel,Penama,,,,Others,,590
2020,Number of private households main source cooking fuel,Malampa,,,,,,9715
2020,Number of private households main source cooking fuel,Malampa,,,,Charcoal,,29
2020,Number of private households main source cooking fuel,Malampa,,,,Electricity,,223
2020,Number of private households main source cooking fuel,Malampa,,,,Gas,,74
2020,Number of private households main source cooking fuel,Malampa,,,,"Open fire (wood , coconut shells)",,8509
2020,Number of private households main source cooking fuel,Malampa,,,,Others,,881
2020,Number of private households main source cooking fuel,Shefa,,,,,,11148
2020,Number of private households main source cooking fuel,Shefa,,,,Charcoal,,64
2020,Number of private households main source cooking fuel,Shefa,,,,Electricity,,837
2020,Number of private households main source cooking fuel,Shefa,,,,Gas,,1449
2020,Number of private households main source cooking fuel,Shefa,,,,"Open fire (wood , coconut shells)",,8111
2020,Number of private households main source cooking fuel,Shefa,,,,Others,,687
2020,Number of private households main source cooking fuel,Tafea,,,,,,8239
2020,Number of private households main source cooking fuel,Tafea,,,,Charcoal,,1
2020,Number of private households main source cooking fuel,Tafea,,,,Electricity,,189
2020,Number of private households main source cooking fuel,Tafea,,,,Gas,,107
2020,Number of private households main source cooking fuel,Tafea,,,,"Open fire (wood , coconut shells)",,7273
2020,Number of private households main source cooking fuel,Tafea,,,,Others,,669
