Year,Series,Region,Wall Material,Roof Material,Type of Lighting,Type of Cooking Fuel,Unnamed: 8,Value
2020,Number of private households main wall material,Sanma,Metal,,,,,689
2020,Number of private households main wall material,Sanma,Others,,,,,178
2020,Number of private households main wall material,Sanma,Traditional materials,,,,,3429
2020,Number of private households main wall material,Sanma,Wood,,,,,533
2020,Number of private households main wall material,Penama,,,,,,7863
2020,Number of private households main wall material,Penama,Concrete,,,,,1537
2020,Number of private households main wall material,Penama,Makeshift or improvised materials,,,,,263
2020,Number of private households main wall material,Penama,Metal,,,,,130
2020,Number of private households main wall material,Penama,Others,,,,,49
2020,Number of private households main wall material,Penama,Traditional materials,,,,,4871
2020,Number of private households main wall material,Penama,Wood,,,,,1013
2020,Number of private households main wall material,Malampa,,,,,,9715
2020,Number of private households main wall material,Malampa,Concrete,,,,,2669
2020,Number of private households main wall material,Malampa,Makeshift or improvised materials,,,,,374
2020,Number of private households main wall material,Malampa,Metal,,,,,253
2020,Number of private households main wall material,Malampa,Others,,,,,253
2020,Number of private households main wall material,Malampa,Traditional materials,,,,,5515
2020,Number of private households main wall material,Malampa,Wood,,,,,651
2020,Number of private households main wall material,Shefa,,,,,,11148
2020,Number of private households main wall material,Shefa,Concrete,,,,,4729
2020,Number of private households main wall material,Shefa,Makeshift or improvised materials,,,,,697
2020,Number of private households main wall material,Shefa,Metal,,,,,303
2020,Number of private households main wall material,Shefa,Others,,,,,28
2020,Number of private households main wall material,Shefa,Traditional materials,,,,,630
2020,Number of private households main wall material,Shefa,Wood,,,,,4762
2020,Number of private households main wall material,Tafea,,,,,,8239
2020,Number of private households main wall material,Tafea,Concrete,,,,,1470
2020,Number of private households main wall material,Tafea,Makeshift or improvised materials,,,,,640
2020,Number of private households main wall material,Tafea,Metal,,,,,109
2020,Number of private households main wall material,Tafea,Others,,,,,402
2020,Number of private households main wall material,Tafea,Traditional materials,,,,,4012
2020,Number of private households main wall material,Tafea,Wood,,,,,1606
2009,Number of private households main roof material,,,,,,,47373
2009,Number of private households main roof material,,,Concrete,,,,1386
2009,Number of private households main roof material,,,Makeshift or improvised materials,,,,952
2009,Number of private households main roof material,,,Metal,,,,22806
2009,Number of private households main roof material,,,Others,,,,335
2009,Number of private households main roof material,,,Traditional materials,,,,21411
2009,Number of private households main roof material,,,Wood,,,,483
2009,Number of private households main roof material,Port Vila,,,,,,9054
2009,Number of private households main roof material,Port Vila,,Concrete,,,,271
2009,Number of private households main roof material,Port Vila,,Makeshift or improvised materials,,,,178
