Year,Units,Series,Value
2006,Percent,34110,34.0
2007,Percent,34110,21.7
2008,Percent,34110,35.9
2009,Percent,34110,-0.6
2010,Percent,34110,-4.6
2011,Percent,34110,-15.3
2012,Percent,34110,-17.0
2013,Percent,34110,17.0
2014,Percent,34110,9.8
2015,Percent,34110,41.0
2016,Percent,34110,-23.9
2017,Percent,34110,19.2
