Year,Units,Series,Value
2006,Total,21321,113.5
2007,Total,21321,117.5
2008,Total,21321,130.1
2009,Total,21321,135.2
2010,Total,21321,142.2
2011,Total,21321,143.2
2012,Total,21321,145.5
2013,Total,21321,148.4
2014,Total,21321,150.5
2015,Total,21321,151.6
2016,Total,21321,162.7
2017,Total,21321,173.1
2018,Total,21321,178.5
