Year,Province,Value
2022,,14075
2023,,13374
2022,Torba,377
2022,Sanma,1632
2022,Penama,62
2022,Malampa,656
2022,Shefa,10665
2022,Tafea,683
2023,Torba,254
2023,Sanma,2894
2023,Penama,680
2023,Malampa,429
2023,Shefa,8383
2023,Tafea,734
