Year,Province,Value
2020,,8
2021,,8
2022,,7
2023,,7
2024,,6
2020,Torba,20
2020,Sanma,5
2020,Penama,6
2020,Malampa,5
2020,Shefa,4
2020,Tafea,5
2021,Torba,20
2021,Sanma,5
2021,Penama,7
2021,Malampa,5
2021,Shefa,4
2021,Tafea,5
2022,Torba,19
2022,Sanma,5
2022,Penama,6
2022,Malampa,5
2022,Shefa,4
2022,Tafea,4
2023,Torba,17
2023,Sanma,4
2023,Penama,6
2023,Malampa,5
2023,Shefa,3
2023,Tafea,4
2024,Torba,17
2024,Sanma,4
2024,Penama,6
2024,Malampa,5
2024,Shefa,3
2024,Tafea,4
