Year,Province,Value
2009,,4
2016,,65
2020,,67
2009,Urban,1
2016,Urban,11
2020,Urban,15
2009,Rural,4
2016,Rural,84
2020,Rural,83
2009,Torba,5
2016,Torba,94
2020,Torba,94
2009,Sanma,4
2016,Sanma,67
2020,Sanma,88
2009,Penama,2
2016,Penama,95
2020,Penama,96
2009,Malampa,5
2016,Malampa,91
2020,Malampa,87
2009,Shefa,7
2016,Shefa,33
2020,Shefa,62
2009,Tafea,6
2016,Tafea,87
2020,Tafea,85
