Year,Geographic Location,Value
2016,,1.084
2017,,1.123
2018,,1.142
2019,,1.172
2020,,1.24
2016,Port Vila,1.102
2017,Port Vila,1.153
2018,Port Vila,1.176
2019,Port Vila,1.21
2020,Port Vila,1.298
2016,Luganville,1.024
2017,Luganville,1.017
2018,Luganville,1.022
2019,Luganville,1.031
2020,Luganville,1.013
