Year,Major Industry,Minor Industry,Value
2015,,,3716.0
2015,Accommodation and food service activities,,477.0
2015,Administrative and support service activities,,209.0
2015,"Agriculture, forestry and fishing",,10.0
2015,"Arts, entertainment and recreation",,60.0
2015,Construction,,232.0
2015,Education,,38.0
2015,"Electricity, gas, steam and air conditioning supply",,4.0
2015,Financial and insurance activities,,86.0
2015,Human health and social work activities,,46.0
2015,Information and communication,,52.0
2015,Manufacturing,,224.0
2015,Mining and quarrying,,11.0
2015,Other service activities,,61.0
2015,"Professional, scientific and technical activities",,337.0
2015,Public administration and defence; compulsory social security,,
2015,Real estate activities,,67.0
2015,Transportation and storage,,770.0
2015,"Water supply; sewerage, waste management and remediation activities",,11.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,,1021.0
2016,,,4083.0
2016,Accommodation and food service activities,,553.0
2016,Administrative and support service activities,,236.0
2016,"Agriculture, forestry and fishing",,22.0
2016,"Arts, entertainment and recreation",,67.0
2016,Construction,,257.0
2016,Education,,37.0
2016,"Electricity, gas, steam and air conditioning supply",,8.0
2016,Financial and insurance activities,,100.0
2016,Human health and social work activities,,52.0
2016,Information and communication,,54.0
2016,Manufacturing,,221.0
2016,Mining and quarrying,,8.0
2016,Other service activities,,62.0
2016,"Professional, scientific and technical activities",,357.0
2016,Public administration and defence; compulsory social security,,
2016,Real estate activities,,81.0
2016,Transportation and storage,,832.0
2016,"Water supply; sewerage, waste management and remediation activities",,12.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,,1124.0
2017,,,4357.0
2017,Accommodation and food service activities,,528.0
2017,Administrative and support service activities,,261.0
2017,"Agriculture, forestry and fishing",,20.0
2017,"Arts, entertainment and recreation",,71.0
2017,Construction,,276.0
2017,Education,,36.0
2017,"Electricity, gas, steam and air conditioning supply",,7.0
2017,Financial and insurance activities,,101.0
2017,Human health and social work activities,,55.0
2017,Information and communication,,70.0
2017,Manufacturing,,217.0
2017,Mining and quarrying,,9.0
2017,Other service activities,,75.0
2017,"Professional, scientific and technical activities",,387.0
2017,Public administration and defence; compulsory social security,,
2017,Real estate activities,,104.0
2017,Transportation and storage,,1030.0
2017,"Water supply; sewerage, waste management and remediation activities",,14.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,,1096.0
2018,,,4421.0
2018,Accommodation and food service activities,,524.0
2018,Administrative and support service activities,,275.0
