Year,Province,Region,Sex,GeoCode,Value
2020,,,,,80
2020,,,Male,,80
2020,,,Female,,79
2020,,Urban,,,56
2020,,Rural,,,88
2020,TORBA,,,VU01,91
2020,SANMA,,,VU02,71
2020,PENAMA,,,VU03,98
2020,MALAMPA,,,VU04,86
2020,SHEFA,,,VU05,69
2020,TAFEA,,,VU06,98
2010,,,,,92
2010,,Urban,,,86
2010,,Rural,,,94
